"hesap";"ham_meta_adi";"meta_reklam_id";"reklam_seti_ham_adi";"kampanya_ham_adi";"durum";"yaratici_ham_adi";"cta";"destination";"yaratici_metin_ve_baslik";"yaratici_dil_sinyali";"yaratici_kimlik_kalitesi";"yaratici_ailesi";"kunye_kaniti";"insan_notu"
"Doruk Tibbi Bilgiler";"Rinoplasti Kadın 1";"52545936477024";"Rinoplasti Birleşik Krallık Whatsapp Yönlendirmeli Etkileşim Seti";"Whatsapp - Estetik - Rinoplasti - Birleşik Krallık - Genel - EN - Etkileşim";"CAMPAIGN_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"Rinoplasti Şenol - 3";"52547155575824";"Bahreyn Kadın IOS";"Whatsapp Estetik - Rinoplasti - Arap Bölgesi - Genel - AR - lead";"CAMPAIGN_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"a - Kopya";"52547155575024";"Bahreyn Kadın IOS";"Whatsapp Estetik - Rinoplasti - Arap Bölgesi - Genel - AR - lead";"CAMPAIGN_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"Rinoplasti Şenol - 2";"52545427480624";"Rinoplasti - Genel - Birleşik Krallık - EN";"Estetik - Rinoplasti - Anglosfer - Genel - EN - lead";"PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"Rinoplasti Kadın 3";"52544299641224";"Rinoplasti - Genel - Birleşik Krallık - EN";"Estetik - Rinoplasti - Anglosfer - Genel - EN - lead";"PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"Rinoplasti Şenol - 3";"52545427567624";"Rinoplasti - Genel - Birleşik Krallık - EN";"Estetik - Rinoplasti - Anglosfer - Genel - EN - lead";"CAMPAIGN_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"Rinoplasti Şenol - 1";"52545427428024";"Rinoplasti - Genel - Birleşik Krallık - EN";"Estetik - Rinoplasti - Anglosfer - Genel - EN - lead";"PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"Rinoplasti Kadın 1";"52544585447224";"Rinoplasti - Genel - Birleşik Krallık - EN";"Estetik - Rinoplasti - Anglosfer - Genel - EN - lead";"CAMPAIGN_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"Rinoplasti Kadın 4";"52544270275224";"Rinoplasti - Genel - Birleşik Krallık - EN";"Estetik - Rinoplasti - Anglosfer - Genel - EN - lead";"CAMPAIGN_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"Rinoplasti Kadın 2";"52544270276024";"Rinoplasti - Genel - Birleşik Krallık - EN";"Estetik - Rinoplasti - Anglosfer - Genel - EN - lead";"PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"Rinoplasti Kadın 3";"52551836607824";"Rinoplasti - Kadın - Avusturalya,Yeni Zelanda - EN";"Estetik - Rinoplasti - Anglosfer - Genel - EN - lead";"PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"Rinoplasti Kadın 1";"52551836607224";"Rinoplasti - Kadın - Avusturalya,Yeni Zelanda - EN";"Estetik - Rinoplasti - Anglosfer - Genel - EN - lead";"CAMPAIGN_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"Rinoplasti Kadın 2";"52551836607624";"Rinoplasti - Kadın - Avusturalya,Yeni Zelanda - EN";"Estetik - Rinoplasti - Anglosfer - Genel - EN - lead";"PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"Rinoplasti Şenol - 3";"52551836606624";"Rinoplasti - Kadın - Avusturalya,Yeni Zelanda - EN";"Estetik - Rinoplasti - Anglosfer - Genel - EN - lead";"CAMPAIGN_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"Rinoplasti Kadın 4";"52551836607024";"Rinoplasti - Kadın - Avusturalya,Yeni Zelanda - EN";"Estetik - Rinoplasti - Anglosfer - Genel - EN - lead";"CAMPAIGN_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"Rinoplasti Şenol - 2";"52551836607424";"Rinoplasti - Kadın - Avusturalya,Yeni Zelanda - EN";"Estetik - Rinoplasti - Anglosfer - Genel - EN - lead";"PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
